LoanID,CustomerID,Amount,InterestRate,LoanDate,TermMonths
12504,142235,45294.82,11.43,2023-09-11,24
12505,127659,1843.26,11.97,2023-01-23,6
12506,124976,18123.76,10.87,2021-03-22,6
12507,182643,44740.59,10.65,2022-07-10,48
12508,167865,2012.95,18.04,2024-09-30,12
12509,168306,36842.5,8.03,2020-09-05,12
12510,156697,12921.54,12.8,2020-11-04,24
12511,170382,38878.64,13.77,2024-11-29,24
12512,116651,34283.9,9.33,2023-11-16,6
12513,149044,47119.28,5.58,2020-09-24,24
12514,114633,16024.51,8.43,2020-02-18,6
12515,179164,8426.31,13.62,2023-09-01,36
12516,100569,25256.84,8.57,2024-05-01,60
12517,159900,49256.59,18.43,2024-10-18,48
12518,167509,2980.59,8.17,2021-08-10,60
12519,133038,9740.42,11.58,2021-10-27,36
12520,149088,43006.59,5.7,2024-01-02,6
12521,173177,34628.69,18.1,2021-05-26,24
12522,174466,21820.5,14.29,2023-02-23,12
12523,172216,25189.24,12.51,2021-03-27,24
12524,166793,13534.37,8.78,2021-06-13,48
12525,173786,48160.0,7.72,2022-04-23,36
12526,138138,17808.48,13.91,2022-10-23,36
12527,163310,19613.52,16.47,2023-11-11,24
12528,128757,23984.34,11.67,2021-07-26,60
12529,170394,11468.78,12.66,2023-10-18,60
12530,179027,10627.87,6.86,2021-07-16,60
12531,190830,30431.38,8.13,2023-05-13,48
12532,156151,38960.28,10.52,2024-06-06,12
12533,149272,37856.32,16.57,2021-01-29,60
12534,106908,28714.98,5.96,2022-05-03,36
12535,110844,32307.13,17.9,2020-05-12,36
12536,151455,28620.9,11.0,2021-12-17,6
12537,168447,43871.45,16.69,2021-07-24,60
12538,174527,19984.49,9.5,2020-06-20,48
12539,177108,7041.43,18.01,2021-02-04,12
12540,143066,22339.28,10.28,2023-03-10,48
12541,195229,43668.79,16.89,2023-12-30,12
12542,140004,45138.32,6.13,2023-12-29,12
12543,138333,29884.9,9.1,2022-03-06,60
12544,183029,4049.69,19.88,2022-08-06,6
12545,139697,36395.42,6.52,2021-04-27,48
12546,117634,32999.37,17.02,2024-02-09,60
12547,124561,23132.75,11.88,2022-08-12,36
12548,118033,8987.04,14.74,2023-07-07,60
12549,172887,30716.85,19.23,2022-03-04,36
12550,155063,24632.75,7.3,2021-08-06,6
12551,125921,3960.83,10.65,2024-05-08,6
12552,119340,20492.52,10.94,2023-09-09,24
12553,162781,46996.1,19.86,2021-08-22,6
12554,114901,21162.42,7.99,2023-03-26,36
12555,110638,22041.28,18.3,2023-10-26,24
12556,138596,28314.34,11.16,2021-12-15,36
12557,186914,15559.17,19.61,2023-08-04,24
12558,144324,4603.27,5.3,2023-10-22,24
12559,188356,30461.99,19.18,2023-12-01,48
12560,190596,25258.51,9.39,2023-12-19,36
12561,132642,34478.86,6.18,2024-11-11,12
12562,125378,24344.21,11.16,2021-12-30,60
12563,150867,13119.41,15.37,2022-04-06,48
12564,173686,19834.34,10.51,2024-06-27,24
12565,142875,1661.61,19.76,2022-07-02,48
12566,189595,8602.49,13.87,2020-01-15,24
12567,183729,39514.44,15.1,2023-07-08,6
12568,164377,46651.94,9.6,2021-07-06,6
12569,154691,18890.95,18.97,2021-12-06,24
12570,193337,46445.27,10.55,2020-07-09,60
12571,164303,32138.07,12.37,2024-04-29,24
12572,160839,14742.77,17.13,2024-03-10,60
12573,149063,30387.95,9.92,2023-06-10,12
12574,191782,40597.66,7.45,2022-10-26,12
12575,178343,39506.5,19.79,2021-09-02,36
12576,183071,44369.99,8.85,2021-11-13,60
12577,105492,39572.02,5.75,2024-02-23,48
12578,131357,35081.57,12.61,2020-10-22,48
12579,171838,19801.36,5.6,2022-07-21,36
12580,132314,9807.12,6.68,2021-04-08,12
12581,148697,6520.16,7.92,2020-07-01,12
12582,170283,40820.87,13.72,2024-06-09,6
12583,159567,38569.86,7.66,2020-06-25,48
12584,147006,44827.42,7.75,2020-08-31,24
12585,160011,4461.85,11.1,2022-03-08,24
12586,110686,32129.89,14.68,2024-01-09,24
12587,137449,36302.93,9.68,2020-10-19,60
12588,161606,21215.2,10.69,2021-11-10,12
12589,118891,27039.72,17.14,2020-01-07,36
12590,152115,25331.27,15.22,2023-09-30,60
12591,160719,22312.21,9.35,2022-04-15,24
12592,195464,15240.21,19.82,2023-11-10,36
12593,173030,49461.4,7.79,2020-05-20,24
12594,136723,44285.17,14.8,2020-04-07,12
12595,129877,39542.13,17.69,2021-12-03,6
12596,193517,42251.47,7.09,2022-11-17,48
12597,114026,42029.75,13.53,2023-02-06,60
12598,120422,4664.19,17.36,2020-01-19,24
12599,109244,29163.13,18.92,2020-04-27,60
12600,133481,24064.53,11.09,2023-03-27,60
12601,189180,10738.26,12.62,2020-12-28,24
12602,158031,13799.39,17.72,2020-03-23,12
12603,108521,7923.75,11.99,2021-02-20,48
12604,101746,24191.31,13.72,2024-07-19,12
12605,183127,13560.09,15.4,2021-06-26,6
12606,192254,11414.15,17.26,2023-10-30,24
12607,168232,27886.95,7.12,2024-03-23,12
12608,112012,11419.78,18.04,2024-03-03,24
12609,180224,29891.14,11.43,2024-12-01,24
12610,123457,8621.43,9.11,2024-09-13,60
12611,170572,35575.53,19.41,2022-06-21,60
12612,129960,15856.84,8.26,2020-08-16,60
12613,187695,38406.45,14.97,2024-07-19,60
12614,107910,40029.45,16.47,2022-04-16,24
12615,102693,49303.87,9.1,2020-10-20,36
12616,115858,1810.3,10.79,2022-06-30,60
12617,128810,40685.04,11.85,2023-07-21,60
12618,120092,24612.6,17.84,2024-11-23,60
12619,188779,7013.74,10.57,2020-11-02,36
12620,148700,38127.36,19.24,2021-01-17,36
12621,158105,4224.65,8.62,2021-08-08,12
12622,130505,43516.35,16.87,2024-11-24,24
12623,173228,31986.51,9.24,2024-01-30,48
12624,128555,10245.46,11.91,2021-12-14,6
12625,171934,34363.45,10.43,2021-11-05,36
12626,172788,9197.64,19.42,2024-09-07,60
12627,177257,28705.35,8.24,2020-11-07,36
12628,117939,1243.97,16.7,2020-06-29,60
12629,111825,46924.62,8.63,2020-10-16,6
12630,190787,4135.01,15.31,2021-07-01,36
12631,124151,37741.08,10.11,2020-05-07,60
12632,100036,35545.68,13.63,2021-08-19,24
12633,193948,32926.7,13.14,2020-11-12,6
12634,183707,2916.37,19.7,2020-03-25,24
12635,139051,33120.05,8.14,2023-11-06,24
12636,198297,31027.96,9.72,2020-05-27,48
12637,180738,31999.04,8.54,2020-01-11,36
12638,173596,27376.11,13.11,2024-12-08,48
12639,160071,17192.08,13.17,2020-03-12,6
12640,173601,12473.73,16.45,2023-11-03,12
12641,129873,23359.53,17.39,2024-01-30,12
12642,136648,19860.74,15.84,2023-10-19,24
12643,171468,34698.23,12.73,2020-04-28,48
12644,126470,14262.81,16.48,2023-03-31,12
12645,165129,39793.35,7.96,2023-07-08,6
12646,108328,49013.48,5.31,2021-01-20,36
12647,106333,35228.99,13.17,2021-01-19,24
12648,146638,26103.73,9.54,2023-01-07,24
12649,111268,9395.33,9.0,2023-06-03,48
12650,170603,49124.47,13.64,2021-02-14,48
12651,117045,14362.59,7.43,2020-09-13,6
12652,140741,28850.45,9.62,2022-07-25,6
12653,188306,22682.63,7.03,2020-04-26,12
12654,142770,10766.64,8.01,2020-09-06,36
12655,107887,39260.06,18.92,2024-07-08,60
12656,198718,6774.81,19.09,2024-10-23,36
12657,197906,22061.46,7.61,2022-07-04,36
12658,124918,11357.09,10.64,2024-03-22,6
12659,135497,27929.54,18.41,2023-09-11,12
12660,193562,43179.3,5.66,2024-04-25,60
12661,161009,44649.01,9.91,2020-08-07,12
12662,111929,26994.46,14.26,2024-06-25,60
12663,161762,12839.63,13.12,2024-08-11,6
12664,179099,19789.88,8.35,2024-12-22,60
12665,128546,34749.35,12.24,2022-02-08,24
12666,178424,15103.34,13.96,2023-12-14,60
12667,137338,8519.41,9.89,2021-09-12,48
12668,134283,14635.59,17.82,2021-12-22,24
12669,182494,6954.07,17.99,2023-09-20,12
12670,178170,14556.12,14.08,2021-06-19,48
12671,184787,3132.0,16.67,2023-09-30,6
12672,146566,4056.72,16.6,2022-12-31,24
12673,185464,43063.52,11.89,2020-05-27,36
12674,181991,9734.28,18.5,2024-01-24,48
12675,192680,42345.68,18.46,2021-03-26,36
12676,128013,49797.96,16.79,2022-04-30,12
12677,152132,20133.45,9.03,2024-08-16,48
12678,187412,22941.47,12.75,2020-07-11,36
12679,192498,15012.6,11.76,2023-04-21,48
12680,128084,6840.53,12.33,2022-01-31,24
12681,121143,32207.61,12.4,2020-12-22,36
12682,191627,42553.56,18.92,2024-05-11,6
12683,114179,33800.05,13.33,2022-08-28,60
12684,198343,6357.77,19.44,2023-06-11,6
12685,158726,30727.64,19.33,2024-10-19,6
12686,110222,32324.79,11.68,2021-05-01,60
12687,159965,34797.72,10.77,2023-01-09,24
12688,164068,4404.28,17.14,2022-02-18,6
12689,123949,35207.37,18.08,2023-04-26,12
12690,116116,30627.67,18.17,2022-06-04,24
12691,151052,43537.78,9.34,2021-12-22,6
12692,151369,9092.29,7.5,2024-11-11,24
12693,148817,4044.66,18.91,2020-07-29,12
12694,183203,40831.07,16.94,2020-07-21,12
12695,174311,6044.2,8.74,2024-05-07,12
12696,129655,19626.76,8.38,2020-11-05,6
12697,157802,43577.05,9.58,2020-12-05,36
12698,147632,14635.38,18.69,2020-02-02,12
12699,114193,22642.86,11.97,2023-12-04,36
12700,180212,31095.43,7.71,2021-11-22,36
12701,130776,32318.16,19.54,2024-09-15,48
12702,143225,30110.55,19.37,2022-11-24,24
12703,160010,3971.77,6.78,2022-04-18,12
12704,182735,39142.21,13.39,2022-09-07,60
12705,165451,39952.85,10.71,2022-12-18,36
12706,148812,6111.31,9.1,2024-02-18,60
12707,180602,37243.06,11.91,2021-05-01,60
12708,118895,25690.94,9.2,2020-11-30,12
12709,165782,1617.18,6.3,2020-12-05,12
12710,121209,35015.05,19.3,2022-09-20,24
12711,182336,23579.72,17.56,2023-05-27,36
12712,161807,7206.49,14.44,2020-07-06,12
12713,123086,9616.38,11.28,2021-09-08,36
12714,185637,38130.77,6.79,2024-05-14,6
12715,182027,47318.98,12.57,2022-07-01,6
12716,127207,9035.39,13.44,2023-08-13,6
12717,120897,20716.08,11.08,2020-06-07,60
12718,163083,16664.4,5.58,2021-03-19,36
12719,195028,29752.09,12.92,2020-09-15,36
12720,166957,10567.49,15.94,2020-11-20,6
12721,197551,29372.22,5.51,2022-06-03,48
12722,178506,41728.3,6.5,2022-01-21,24
12723,107283,32414.77,13.4,2022-10-17,60
12724,194024,10519.51,13.73,2024-03-05,12
12725,181481,37700.67,15.67,2022-10-05,12
12726,100255,23549.68,10.15,2020-05-20,12
12727,176555,6533.45,16.78,2020-10-12,6
12728,115487,17029.49,16.15,2021-02-01,48
12729,119346,12831.38,7.72,2022-06-03,48
12730,135050,42328.61,18.39,2023-12-13,48
12731,108744,12120.18,16.12,2021-05-21,6
12732,124756,26083.37,6.47,2024-04-02,36
12733,161596,32963.16,14.54,2023-12-15,6
12734,183397,3759.55,19.88,2023-11-14,12
12735,125146,7905.81,17.94,2024-05-27,6
12736,155032,39568.08,9.9,2020-10-23,24
12737,142687,17850.67,9.76,2023-07-08,36
12738,146103,35398.84,9.6,2020-02-15,36
12739,121976,38204.12,5.78,2021-11-20,6
12740,162863,32491.42,13.58,2021-01-24,36
12741,100591,29504.06,17.28,2023-01-23,12
12742,106277,25255.51,8.14,2020-06-05,12
12743,161860,20254.88,5.48,2021-07-29,60
12744,102260,8323.92,8.81,2021-09-08,60
12745,165883,48670.56,17.75,2024-04-12,12
12746,124741,32453.98,8.93,2022-05-28,12
12747,137211,10518.6,15.18,2022-10-25,36
12748,141542,41987.78,5.06,2024-04-23,24
12749,106869,41299.49,8.05,2024-07-04,24
12750,193618,37896.05,17.39,2023-07-23,60
12751,187616,6668.67,14.91,2022-02-18,60
12752,164732,1877.39,5.21,2022-12-12,24
12753,194515,35703.01,8.59,2022-12-19,60
12754,119422,11020.67,10.4,2024-10-15,12
12755,135613,42196.32,7.04,2023-10-02,48
12756,157016,33963.62,8.05,2022-06-30,60
12757,160110,19345.92,7.48,2024-11-07,60
12758,188529,24887.97,7.75,2023-08-06,48
12759,177922,25634.18,17.51,2024-05-04,60
12760,134033,19567.24,17.37,2020-02-12,60
12761,145213,9789.23,15.2,2022-09-03,12
12762,161993,49722.88,12.3,2024-04-06,12
12763,112938,37711.71,9.58,2021-08-09,60
12764,176695,8664.36,7.44,2020-10-16,48
12765,102274,2693.86,11.89,2022-12-01,48
12766,184390,17872.2,7.77,2024-01-23,24
12767,131815,28167.96,13.61,2022-04-30,60
12768,176018,46959.06,5.89,2023-11-20,6
12769,118961,7487.53,15.64,2022-04-09,6
12770,120044,22571.06,6.03,2020-08-15,60
12771,199372,9752.46,6.25,2021-10-14,12
12772,121975,4416.91,19.36,2023-06-15,12
12773,114706,30465.46,10.97,2020-07-06,6
12774,105974,6086.27,16.16,2024-11-17,48
12775,176464,36289.3,5.54,2021-01-17,6
12776,121213,28122.12,5.7,2021-03-10,36
12777,101950,12393.53,7.92,2020-06-04,12
12778,185013,39930.14,8.22,2020-08-10,6
12779,110411,35280.99,5.62,2024-03-19,24
12780,187231,31688.05,10.65,2022-05-01,6
12781,146156,11478.86,9.44,2023-09-08,60
12782,162744,35619.7,16.07,2023-10-07,24
12783,117771,27490.66,12.58,2024-04-14,36
12784,169810,27180.56,14.19,2023-06-27,24
12785,135053,6856.72,7.64,2020-02-05,36
12786,152076,7621.6,6.63,2020-03-24,60
12787,107045,2582.73,13.43,2023-08-03,12
12788,157623,13028.86,12.16,2022-02-13,48
12789,129714,25176.88,14.22,2022-03-23,24
12790,134386,18590.44,12.74,2022-04-06,24
12791,108562,35931.89,13.21,2023-09-10,48
12792,155048,20967.84,11.05,2020-08-06,48
12793,193295,5568.87,17.82,2022-03-04,60
12794,112026,36506.13,10.06,2022-08-14,24
12795,131589,10023.47,5.12,2021-12-27,24
12796,197274,16436.21,19.3,2024-06-29,12
12797,126844,25530.32,8.42,2020-06-18,12
12798,123447,28154.03,17.85,2024-06-23,6
12799,190415,15453.32,5.86,2024-12-08,24
12800,177502,23574.89,13.14,2023-11-18,60
12801,183268,4268.48,15.09,2020-10-13,48
12802,154708,8843.86,7.38,2022-11-28,12
12803,163925,30352.95,18.89,2024-08-19,48
12804,170825,1224.36,7.91,2024-09-04,24
12805,151574,10013.9,14.52,2021-09-30,6
12806,185548,31789.03,8.46,2021-07-05,60
12807,118812,12380.49,8.81,2022-08-10,12
12808,155309,41078.45,8.27,2024-04-10,24
12809,164230,20233.73,7.37,2024-02-10,60
12810,141628,35994.27,11.95,2023-05-28,12
12811,140581,44368.45,8.98,2021-11-06,24
12812,146628,22962.41,12.44,2021-01-31,36
12813,188628,34076.05,19.15,2022-01-13,60
12814,125105,42326.58,11.09,2021-01-21,60
12815,179830,13070.32,9.85,2022-04-25,6
12816,169157,44375.86,8.17,2021-07-18,6
12817,132442,43154.93,16.82,2024-10-20,24
12818,187235,3961.19,11.17,2023-05-11,48
12819,102347,24081.42,12.51,2022-02-05,36
12820,195022,6446.41,15.9,2021-02-09,36
12821,147650,44421.57,9.51,2023-08-22,24
12822,117110,12742.12,11.67,2020-01-14,6
12823,162170,19177.88,17.34,2022-11-14,48
12824,104923,46960.66,11.02,2023-06-19,6
12825,151801,28541.47,5.86,2022-01-31,36
12826,162771,46426.53,9.74,2023-12-09,48
12827,181147,23617.76,5.74,2024-05-29,24
12828,148135,49156.14,15.94,2020-08-09,6
12829,119199,47807.74,15.72,2022-02-24,6
12830,109066,1985.81,12.76,2024-12-09,6
12831,152136,20901.98,12.61,2021-11-04,24
12832,192290,47547.69,12.34,2021-06-23,12
12833,136575,40898.53,12.86,2023-01-12,12
12834,189796,11387.87,10.86,2022-05-07,60
12835,146733,44360.87,10.33,2023-01-21,24
12836,116991,10877.57,7.9,2022-07-15,60
12837,122553,46873.05,8.6,2022-10-13,60
12838,189710,5069.26,13.34,2020-09-22,60
12839,187493,47370.27,8.59,2024-02-07,12
12840,100634,5034.27,10.81,2022-08-11,60
12841,195417,12165.65,5.34,2023-12-15,48
12842,112771,28742.11,8.96,2023-03-08,60
12843,118298,10213.63,8.8,2022-02-18,60
12844,179876,20072.93,7.54,2022-09-22,60
12845,198892,9277.56,12.54,2023-05-15,48
12846,135999,28331.24,5.45,2022-08-30,60
12847,171887,30935.45,8.87,2021-01-16,12
12848,159648,11802.29,8.11,2022-12-22,36
12849,162668,15286.63,14.15,2023-01-25,48
12850,169374,37167.62,13.79,2021-07-11,36
12851,167509,5243.01,14.02,2023-03-30,6
12852,175783,23192.25,6.5,2024-04-16,6
12853,144440,15213.79,15.18,2023-05-16,36
12854,131655,21204.84,17.68,2024-03-21,24
12855,143039,41936.52,13.62,2021-04-08,36
12856,155255,48975.78,19.47,2023-01-05,48
12857,172219,9839.18,9.64,2020-10-04,24
12858,154989,3994.59,7.31,2024-05-13,6
12859,111244,10650.17,10.59,2022-01-20,6
12860,194594,43755.36,13.22,2024-05-05,60
12861,158595,44093.57,7.27,2024-05-17,12
12862,139551,15050.41,12.95,2024-11-04,12
12863,163230,17163.17,17.53,2022-06-30,60
12864,128371,33535.43,5.68,2021-09-01,6
12865,169358,17746.42,11.65,2021-03-01,36
12866,128878,45299.59,14.46,2023-05-12,48
12867,136157,40252.03,13.9,2021-02-03,12
12868,105914,18532.9,10.97,2021-02-06,36
12869,183700,48642.03,7.88,2021-10-19,6
12870,127180,37501.62,12.11,2020-06-14,48
12871,103688,38107.69,13.02,2021-05-15,12
12872,180219,48057.05,14.21,2021-12-27,12
12873,178616,22102.81,10.76,2021-12-21,24
12874,196489,3029.28,10.47,2020-07-23,6
12875,109916,49556.99,18.8,2020-01-30,48
12876,156363,46829.0,8.32,2024-08-28,36
12877,195213,48342.13,9.36,2024-08-09,48
12878,127360,24219.89,14.89,2023-12-07,60
12879,137805,9063.86,9.87,2021-07-02,12
12880,113453,10594.86,13.77,2024-12-10,36
12881,122703,24189.71,16.14,2021-07-05,48
12882,159021,34093.99,6.01,2023-01-03,12
12883,174176,23792.06,18.93,2022-01-07,48
12884,194799,20334.86,17.5,2024-01-28,36
12885,198385,48211.12,16.14,2023-08-20,6
12886,181614,32738.0,9.19,2024-04-01,60
12887,188919,20960.46,18.71,2023-02-25,6
12888,181072,34802.22,14.76,2020-03-12,6
12889,107410,39796.13,7.35,2022-07-06,24
12890,181462,19001.74,11.43,2023-02-21,24
12891,148268,24279.23,8.88,2021-05-28,12
12892,134248,32451.61,12.66,2024-03-03,48
12893,131159,32241.93,7.61,2023-04-23,24
12894,142039,9599.11,17.52,2022-11-29,60
12895,147800,25351.42,16.18,2023-05-24,6
12896,140761,13697.0,7.75,2023-07-31,24
12897,194626,45766.01,5.37,2022-10-14,36
12898,186103,25327.04,11.89,2021-04-17,36
12899,143663,38563.09,12.85,2021-11-15,36
12900,180903,3162.19,18.65,2022-02-04,6
12901,140412,19698.87,9.6,2024-01-15,36
12902,135367,8780.8,19.5,2022-01-22,60
12903,105813,20256.14,14.34,2024-04-27,24
12904,159894,39956.95,12.67,2021-12-01,6
12905,151444,46418.8,10.23,2023-12-18,48
12906,134269,45896.18,17.62,2021-05-27,48
12907,161748,6824.71,14.76,2021-06-11,6
12908,141190,15774.84,17.45,2024-10-21,12
12909,140318,33358.41,7.02,2023-10-11,60
12910,137018,10973.4,5.53,2021-08-19,12
12911,139759,3519.84,11.74,2024-03-03,36
12912,116498,47730.47,8.86,2023-12-06,24
12913,125989,17145.45,11.46,2024-11-12,6
12914,125568,21575.83,11.32,2020-03-12,12
12915,166577,14351.13,6.67,2020-09-04,12
12916,130099,16934.85,17.63,2024-10-23,60
12917,189900,48238.4,13.6,2023-05-20,48
12918,140639,10397.4,7.18,2024-08-27,36
12919,123482,25251.67,8.53,2021-09-29,48
12920,169212,32268.84,17.73,2022-06-17,12
12921,155261,11994.6,7.72,2023-11-08,24
12922,187317,36066.0,14.66,2021-11-09,48
12923,130048,34441.31,7.2,2020-10-18,60
12924,103065,47782.67,16.16,2022-05-19,12
12925,102036,23557.92,6.89,2020-11-26,6
12926,135814,19850.18,9.88,2021-01-27,24
12927,159694,18693.32,19.67,2024-04-17,12
12928,116924,18851.62,7.87,2022-09-14,6
12929,160204,2844.55,14.27,2023-06-20,24
12930,132844,12574.8,10.15,2023-06-20,60
12931,181943,6882.02,17.91,2021-09-18,60
12932,121518,44149.73,11.2,2020-02-15,24
12933,117059,3754.59,6.09,2020-08-07,12
12934,123052,18894.86,5.49,2020-06-10,12
12935,169803,11751.44,12.59,2023-12-31,6
12936,171524,32634.06,11.72,2024-10-07,36
12937,193510,16990.65,19.86,2020-11-17,24
12938,189572,1813.28,19.86,2022-03-12,48
12939,108680,44797.99,15.03,2020-10-12,6
12940,167021,32185.72,7.88,2021-09-17,36
12941,180249,1067.59,17.45,2021-03-02,6
12942,120043,34304.11,13.59,2021-08-06,24
12943,102419,11602.4,7.27,2022-12-08,60
12944,156892,48217.35,9.65,2023-02-03,6
12945,117140,22797.96,12.35,2020-06-29,12
12946,143484,11936.2,6.12,2021-10-03,48
12947,163869,2482.19,8.71,2021-04-17,24
12948,145210,3877.67,6.08,2023-07-30,36
12949,157600,3765.09,7.16,2022-04-10,48
12950,178497,2542.99,6.47,2020-03-13,6
12951,106487,27875.56,7.37,2023-01-26,48
12952,160692,42483.92,7.24,2020-09-19,6
12953,162112,17956.63,11.77,2022-04-28,6
12954,131110,18088.23,18.29,2024-04-04,60
12955,116360,6098.64,14.18,2021-05-30,60
12956,149410,1058.06,6.63,2021-11-04,6
12957,190418,47636.0,18.45,2024-06-05,60
12958,183038,23427.27,7.02,2020-02-28,48
12959,173167,37132.07,19.48,2021-08-14,48
12960,103017,43542.28,6.75,2023-12-07,36
12961,186261,6486.29,19.69,2023-11-01,60
12962,160124,13868.54,17.29,2021-03-27,6
12963,190298,25597.03,19.3,2022-05-08,36
12964,150949,15571.87,12.56,2023-09-20,6
12965,158268,3610.27,16.81,2021-05-08,60
12966,166320,44750.21,5.5,2021-06-30,6
12967,193556,13242.24,9.07,2023-04-08,60
12968,181301,4566.24,14.48,2024-08-27,24
12969,131127,21694.39,14.6,2021-11-27,60
12970,103196,40415.62,7.92,2021-03-17,24
12971,175088,9253.96,14.26,2021-07-09,48
12972,141300,22407.77,8.12,2024-04-01,6
12973,149714,10090.71,7.5,2023-04-07,24
12974,131921,41087.77,5.25,2023-11-01,24
12975,104746,26619.19,19.81,2024-08-09,12
12976,168535,29340.3,13.74,2023-01-23,48
12977,165350,37629.88,19.97,2020-07-04,24
12978,150345,47045.47,16.43,2022-05-31,48
12979,149220,6184.15,17.01,2022-10-28,36
12980,181131,42432.12,12.77,2023-05-27,48
12981,122063,24237.2,11.05,2024-05-22,24
12982,171736,32384.5,18.95,2020-11-22,24
12983,188913,42786.01,14.58,2021-02-23,6
12984,178946,17005.95,15.67,2021-08-02,12
12985,145971,43607.01,17.62,2024-12-03,12
12986,103598,31939.46,8.2,2021-02-03,6
12987,110564,14671.52,18.81,2024-11-06,6
12988,196434,46069.85,15.03,2023-09-23,6
12989,149725,3833.89,7.56,2024-04-25,6
12990,186134,29936.68,11.28,2023-04-25,36
12991,159940,1826.5,6.38,2020-05-03,48
12992,162085,5002.15,12.4,2022-07-16,12
12993,117862,5908.35,11.33,2024-06-20,6
12994,110265,44818.99,6.43,2024-09-08,48
12995,109705,28376.44,10.23,2021-04-01,24
12996,155279,13740.55,16.07,2022-04-01,12
12997,162471,20141.14,14.93,2022-08-24,6
12998,191080,42064.36,13.62,2020-10-05,36
12999,179834,28935.63,19.76,2020-11-25,60
13000,162979,2549.8,17.99,2022-12-31,12
13001,155828,43690.15,19.4,2020-01-11,24
13002,198206,27384.74,14.8,2024-01-03,6
13003,146104,10613.51,15.4,2020-05-23,12
13004,140934,36045.14,14.38,2020-05-14,6
13005,106050,27160.69,8.34,2020-09-18,12
13006,143952,10277.64,16.54,2020-12-06,60
13007,186570,32854.32,7.36,2023-10-23,12
13008,108484,32428.82,19.57,2020-05-15,36
13009,162648,47781.38,10.97,2024-12-04,60
13010,159945,13948.95,8.6,2021-12-31,60
13011,153678,27870.05,8.57,2020-05-09,36
13012,131323,16730.31,15.76,2020-03-22,36
13013,186332,15610.84,5.6,2024-01-20,6
13014,194605,25776.43,9.91,2022-04-12,48
13015,187363,36028.12,11.29,2024-09-02,36
13016,135361,30635.87,7.31,2021-03-24,60
13017,110315,6749.43,12.34,2020-10-03,6
13018,147968,46196.47,18.58,2022-09-03,6
13019,126519,35728.46,5.79,2020-03-21,6
13020,109107,29387.0,12.07,2024-05-04,6
13021,155781,8067.5,12.41,2020-11-30,48
13022,103869,7609.54,10.49,2024-07-05,6
13023,180983,15379.55,16.66,2020-06-30,60
13024,127370,46231.66,5.99,2022-10-06,24
13025,162695,8201.71,5.09,2024-04-22,36
13026,160422,33078.67,14.7,2020-09-11,24
13027,107971,32598.93,15.9,2020-12-31,48
13028,196805,5505.38,11.03,2021-03-04,6
13029,125651,35659.46,16.83,2022-07-06,48
13030,156974,24334.61,19.22,2022-04-26,24
13031,123446,25537.04,10.61,2024-09-03,36
13032,138108,1269.05,7.74,2021-03-29,60
13033,175179,44943.11,5.51,2023-08-28,48
13034,103823,30908.13,11.27,2020-02-19,24
13035,113454,30621.87,18.12,2020-10-29,6
13036,103932,20066.72,15.74,2021-05-28,36
13037,110220,35386.48,17.89,2024-10-15,48
13038,174090,41818.35,5.66,2020-11-07,60
13039,167965,25255.3,16.79,2024-03-27,12
13040,128208,27709.08,17.39,2023-06-01,60
13041,172980,11209.35,8.6,2020-12-29,6
13042,110510,18306.95,16.54,2021-02-11,36
13043,144045,23939.88,18.89,2023-10-08,6
13044,110537,33402.46,9.02,2020-02-06,6
13045,172683,46655.42,8.05,2020-06-29,48
13046,169134,7716.9,14.97,2022-09-19,6
13047,172254,26922.64,18.13,2024-10-05,36
13048,113782,30937.17,12.98,2023-10-12,36
13049,165587,41449.39,11.15,2023-04-20,60
13050,182238,42335.28,10.26,2021-05-08,6
13051,175720,33373.71,12.69,2024-11-13,48
13052,178004,10536.76,19.08,2024-05-05,24
13053,122072,39210.78,9.1,2022-06-10,6
13054,181015,29348.94,9.97,2023-05-15,6
13055,194003,48105.36,9.89,2023-09-28,48
13056,188938,47707.6,18.93,2024-01-07,60
13057,172746,28031.5,15.36,2021-12-22,6
13058,145702,47224.68,6.1,2021-09-01,12
13059,106057,2260.99,11.81,2024-02-05,48
13060,130916,45859.73,11.55,2021-04-19,12
13061,127268,48263.32,12.76,2021-08-30,24
13062,143978,48974.71,9.33,2022-01-12,36
13063,123259,39121.88,19.95,2024-08-01,36
13064,153583,9852.37,10.18,2024-02-09,48
13065,179400,48758.23,9.54,2020-09-23,12
13066,134293,21969.81,12.36,2024-03-22,12
13067,107043,24090.38,15.31,2021-01-10,12
13068,150430,1741.17,8.59,2024-05-25,36
13069,138893,17823.07,15.18,2022-07-19,60
13070,140642,13600.11,9.11,2020-01-24,36
13071,178065,23040.91,14.91,2023-03-15,60
13072,130868,14190.06,10.6,2023-05-05,12
13073,126309,22916.8,13.86,2024-10-06,60
13074,123284,8230.73,9.73,2022-03-13,12
13075,169000,47649.32,8.19,2023-03-30,48
13076,184179,33542.37,10.5,2024-11-04,36
13077,162107,49434.21,16.16,2021-09-24,60
13078,165049,1236.07,16.65,2023-05-23,36
13079,129265,41954.79,14.97,2024-12-27,6
13080,181490,5129.28,12.64,2023-03-29,48
13081,123880,38918.34,18.35,2023-02-28,48
13082,184579,46201.1,10.59,2024-01-29,12
13083,100255,7893.28,6.66,2021-07-05,24
13084,101502,47851.15,7.97,2020-04-19,36
